# ; SOURCE: IGR J17375-3022
# ; SOURCE RA:       264.395     SOURCE DEC:      -30.3817
# ; CREATION DATE: Fri Nov  4 01:44:50 2011
# ; DATE(MJD) RATE ERROR BKG SCANTYPE EBAND
#Time (MJD)	Rate
53045.812	4.52
53049.910	12.25
53052.838	-0.98
53056.480	4.09
53059.210	7.09
53063.244	-1.39
53066.960	7.39
53070.139	-13.89
53074.050	26.42
53077.031	-2.23
53079.958	20.80
53083.792	7.07
53087.704	-6.56
53091.537	7.62
53095.514	-2.38
53098.691	10.07
53102.276	-7.33
53106.835	-4.40
53110.813	9.05
53113.929	-11.70
53116.854	12.58
53120.033	12.92
53123.746	14.65
53127.710	-1.23
53131.818	15.96
53134.536	15.64
53137.658	6.52
53140.507	3.25
53143.433	16.58
53147.397	11.75
53150.389	-8.50
53154.591	2.76
53157.706	-7.02
53189.471	15.48
53193.183	3.81
53197.213	9.29
53200.137	9.70
53204.497	-5.33
53207.489	18.54
53214.514	9.74
53218.611	9.00
53222.587	20.73
53225.697	10.95
53229.541	-3.41
53233.308	-2.05
53236.430	-3.40
53239.408	8.26
53243.319	8.68
53247.280	6.21
53250.207	-0.16
53254.287	-2.63
53257.294	11.63
53260.473	2.09
53264.384	12.81
53267.496	10.91
53270.684	-0.10
53274.385	-9.46
53277.506	3.42
53281.272	1.97
53285.378	-1.51
53289.078	-7.24
53292.135	3.18
53295.112	15.33
53298.103	5.30
53301.801	-9.65
53304.073	5.65
53307.708	-3.31
53412.948	-3.13
53417.043	10.98
53419.966	27.61
53423.076	-4.40
53426.916	14.06
53430.878	7.66
53433.800	0.71
53437.760	-10.20
53445.626	6.02
53448.485	9.78
53452.706	9.96
53455.629	-2.79
53459.394	5.51
53462.778	24.58
53469.205	2.18
53471.988	16.63
53475.893	9.37
53479.789	9.64
53482.907	5.70
53486.867	2.81
53489.724	9.13
53493.487	9.87
53497.392	1.87
53501.351	11.11
53508.299	6.24
53510.567	8.10
53514.072	12.43
53518.765	5.96
53521.912	25.97
53554.381	-2.52
53558.351	-0.11
53561.986	1.15
53565.039	-6.47
53569.658	-9.05
53572.579	8.08
53575.817	-0.41
53579.526	20.96
53582.502	11.26
53585.555	6.82
53589.578	13.51
53592.435	15.78
53598.267	11.93
53602.092	2.15
53605.147	-8.44
53609.301	-11.89
53613.340	10.96
53616.648	4.16
53620.421	12.39
53624.512	-8.13
53627.630	35.94
53631.392	7.08
53634.511	12.77
53638.271	7.55
53642.111	26.24
53646.068	-1.76
53652.160	0.91
53659.224	-3.80
53666.383	2.53
53670.486	3.45
53673.397	13.51
53775.081	5.93
53778.198	0.86
53781.042	-15.85
53784.944	-12.85
53787.854	-26.88
53791.822	12.72
53794.797	5.52
53798.830	-3.97
53801.803	-13.59
53805.707	3.43
53809.728	-0.33
53812.388	5.88
53816.872	2.14
53819.794	27.18
53822.903	-16.03
53826.215	-22.95
53829.911	-2.92
53833.813	-3.70
53836.853	-23.98
53840.690	-5.68
53844.842	2.00
53847.763	-13.98
53851.457	-7.63
53854.443	8.29
53858.593	3.37
53861.516	4.98
53864.358	-23.01
53868.722	1.14
53875.734	-14.17
53878.776	-3.58
53881.891	19.09
53884.931	1.63
53887.850	33.47
53890.760	11.96
53893.510	-5.74
53918.594	34.24
53923.641	6.82
53927.607	14.53
53930.648	-3.94
53933.632	20.34
53937.522	-8.73
53941.555	1.91
53945.511	24.84
53949.478	23.51
53952.385	-18.18
53958.343	6.41
53962.181	-2.52
53965.350	6.34
53969.387	6.99
53972.495	-1.04
53975.480	6.19
53980.487	-4.71
53983.602	9.60
53987.624	-6.11
53991.394	1.57
53995.217	-8.82
53998.334	-13.40
54002.158	10.81
54008.049	27.41
54011.101	-15.89
54015.776	4.94
54019.812	9.28
54022.789	17.90
54026.298	-8.28
54029.403	4.46
54032.258	-1.46
54035.362	-4.47
54038.347	4.38
54139.180	6.65
54142.153	-0.09
54145.857	-6.00
54148.961	5.17
54152.665	-3.69
54155.701	6.84
54162.574	27.35
54166.411	-10.34
54170.432	13.73
54174.205	3.23
54178.032	19.61
54180.885	11.84
54184.120	17.70
54188.085	11.41
54190.993	6.46
54194.696	5.69
54197.734	5.25
54201.569	-14.53
54204.737	3.06
54208.441	-19.44
54212.394	19.49
54216.296	20.75
54219.661	30.99
54222.713	-6.73
54225.885	-6.04
54229.851	-12.18
54232.957	20.40
54236.725	5.20
54240.746	16.21
54243.728	17.73
54247.551	3.10
54251.582	25.25
54255.602	-13.76
54283.690	-7.47
54289.550	10.48
54292.655	8.58
54296.422	34.68
54299.394	16.57
54302.312	6.74
54305.283	2.06
54308.202	-5.93
54312.088	-0.41
54316.055	9.36
54319.353	2.98
54322.473	23.43
54325.512	12.03
54329.478	14.66
54333.499	18.63
54336.483	12.92
54340.632	1.79
54344.336	0.82
54347.503	-4.39
54352.320	14.69
54356.337	23.23
54359.257	-8.57
54362.946	19.60
54366.193	1.03
54369.282	6.53
54372.216	-11.08
54379.353	11.65
54383.441	-24.29
54386.619	12.85
54390.508	8.06
54393.257	19.61
54397.352	12.10
54401.082	24.04
54404.250	-0.64
54504.749	-10.70
54508.700	3.88
54511.684	13.88
54518.423	5.22
54521.906	12.27
54525.296	-17.32
54528.991	2.69
54532.891	18.10
54536.256	35.62
54540.155	-3.09
54543.060	10.29
54546.763	-13.35
54550.715	25.62
54553.764	11.78
54556.603	15.50
54560.503	-6.83
54564.453	19.33
54568.615	25.31
54571.650	32.38
54575.290	18.97
54578.853	-0.37
54581.837	13.76
54584.811	-24.94
54588.775	28.81
54591.810	-3.09
54595.775	1.44
54598.747	-12.17
54602.645	-9.35
54606.466	19.24
54609.580	11.42
54613.465	7.21
54616.514	14.36
54620.204	4.33
54623.280	-2.23
54650.702	11.83
54653.421	-9.22
54656.393	1.05
54659.374	-10.24
54662.410	10.64
54665.261	-1.45
54669.394	-3.30
54672.392	13.57
54676.529	9.42
54679.462	20.33
54682.632	12.33
54686.858	-29.63
54691.531	20.48
54694.644	-21.67
54698.465	23.03
54705.268	-1.57
54708.316	33.04
54711.221	0.12
54715.185	-1.34
54719.200	-14.78
54723.166	69.93
54727.383	9.86
54730.366	4.89
54733.472	3.83
54737.369	-7.95
54740.408	22.43
54743.585	18.76
54747.276	2.74
54750.192	113.34
54753.162	39.99
54757.126	11.20
54761.077	-8.94
54764.976	6.31
54768.927	4.22
54870.764	-4.74
54873.798	5.00
54876.848	6.46
54880.017	5.59
54884.310	-0.47
54887.282	4.97
54890.264	27.04
54894.019	19.83
54896.085	14.59
54900.102	1.20
54905.701	1.90
54908.866	-2.24
54911.653	3.10
54914.686	-1.72
54918.651	3.10
54922.665	37.38
54925.649	13.74
54929.799	-14.61
54933.830	-7.95
54936.934	26.18
54939.785	-14.11
54942.887	-13.50
54947.830	40.61
54951.715	12.63
54954.632	-15.68
54958.582	25.71
54961.696	9.56
54965.644	2.42
54968.562	-3.84
54971.582	6.03
54975.496	16.56
54979.696	9.29
54982.628	17.75
54985.733	-10.72
54989.789	0.74
55014.512	-19.20
55017.426	-0.47
55020.332	-7.75
55025.339	17.83
55028.576	7.88
55031.490	15.95
55034.660	9.74
55038.558	-1.34
55042.641	82.28
55045.491	34.83
55048.527	-3.81
55052.555	-28.71
55055.394	-8.25
55058.376	-0.92
55061.410	19.50
55064.196	-2.78
55067.360	-3.14
55071.258	-2.76
55074.292	-1.29
55078.257	22.36
55081.424	-0.08
55085.717	-36.90
55088.624	16.00
55092.652	4.61
55106.189	2.67
55110.140	-2.76
55113.253	9.00
55116.222	24.55
55124.133	16.22
55127.770	-2.30
55134.183	-0.25
55235.358	-3.98
55238.395	-0.73
55241.115	27.31
55244.282	28.66
55249.158	23.84
55252.128	-2.33
55254.846	-2.35
55257.815	-4.37
55261.712	-3.75
55264.680	11.47
55268.773	-3.45
55271.740	-12.72
55275.637	-7.99
55279.717	6.54
55282.765	-12.25
55286.326	-23.61
55290.878	17.23
55293.914	24.28
55296.959	11.77
55299.863	3.61
55306.857	-8.94
55310.557	24.23
55313.786	-16.15
55317.421	10.38
55320.388	17.74
55324.480	33.82
55327.578	15.63
55331.607	30.56
55335.756	19.69
55339.718	-21.32
55342.755	15.70
55345.669	-14.86
55348.835	6.86
55354.587	5.95
55383.614	-9.69
55387.574	15.59
55391.723	13.45
55395.616	-20.22
55398.586	15.66
55402.741	14.43
55406.560	8.91
55408.560	6.60
55411.395	5.37
55415.422	6.58
55418.193	1.78
55422.285	-1.44
55425.315	-0.48
55429.278	20.08
55432.512	-5.37
55436.406	22.41
55439.899	-12.67
55444.646	7.53
55447.483	4.59
55450.398	-16.78
55453.561	29.70
55457.260	5.51
55460.227	-10.65
55464.319	13.01
55468.265	-4.61
55471.181	13.91
55478.108	-18.13
55482.321	10.21
55485.234	12.68
55488.532	3.69
55491.643	15.27
55495.528	13.73
55499.225	-10.16
55600.061	19.79
55603.223	22.71
55607.117	40.23
55611.080	22.53
55614.696	31.53
55618.705	16.99
55629.589	35.76
55633.863	7.08
55636.843	2.00
55640.334	-0.46
55643.903	13.47
55647.066	13.41
55650.827	1.46
55654.054	19.99
55657.751	16.95
55661.890	21.79
55664.608	19.00
55668.551	14.72
55671.661	21.76
55675.473	26.05
55678.582	-3.16
55681.611	4.93
55685.245	22.24
55689.847	12.15
55692.760	6.20
55696.837	20.77
55700.728	8.68
55703.744	2.59
55706.865	4.36
55710.613	16.14
55713.721	6.49
55716.425	10.62
55719.623	5.95
55744.703	-2.37
55750.616	-0.07
55754.561	-1.59
55759.429	27.61
55762.588	11.96
55767.393	19.98
55769.441	16.28
55773.137	27.60
55780.187	14.50
55783.413	18.97
55790.532	21.02
55797.519	-6.85
55801.475	-2.86
55804.634	8.33
55808.394	1.34
55811.487	1.82
55818.339	-11.09
55822.034	5.36
55825.256	-2.95
55829.147	8.78
55832.240	8.65
55836.262	0.50
55839.357	-2.22
55843.444	-21.64
55846.669	12.15
55850.362	5.45
55857.212	10.97
55860.369	16.40
55864.126	15.25
