Obsdate		flux	flux_ler	BKG	BAND
 51996.818       3.84      5.69     17.49  2 
 51999.914      -0.59      6.53     17.59  1 
 52002.916      -0.21      5.65     17.53  2 
 52007.537       1.71      3.95     16.88  1 
 52011.730      -4.05      5.49     16.87  2 
 52014.495      -2.41      4.71     17.04  1 
 52017.429       5.23      4.68     16.71  2 
 52020.659       3.51      4.83     16.72  1 
 52024.925      -2.01      5.78     17.46  2 
 52027.821      -1.04      4.81     16.54  1 
 52031.090       4.57      5.61     17.15  2 
 52035.047      -7.77      4.63     17.36  1 
 52037.917      -3.23      5.91     17.30  2 
 52041.012       5.12      4.97     17.09  1 
 52043.815       7.80      4.56     16.71  2 
 52047.904       3.91      5.26     17.31  1 
 52051.832       2.76      4.45     16.97  2 
 52055.723      -6.19      5.10     17.39  1 
 52059.649       6.00      5.68     17.48  2 
 52062.546      -6.30      9.08     18.45  1 
 52065.545       3.63      5.75     17.33  2 
 52090.863      -1.15      4.41     16.84  2 
 52093.910       1.65      4.38     16.82  2 
 52097.667       0.06      3.41     16.88  1 
 52101.660       0.15      5.69     17.04  2 
 52104.423      -1.37      4.92     16.89  1 
 52107.555       3.83      5.62     17.69  2 
 52111.312      -1.60      4.98     17.03  1 
 52115.370       2.72      5.87     17.48  2 
 52119.326      -4.23      4.68     17.09  1 
 52122.391       1.72      5.99     17.25  2 
 52125.155      -6.81      4.45     17.00  1 
 52129.548       3.16      6.07     16.43  2 
 52132.578       2.55      4.61     16.14  1 
 52135.580      -3.86      5.91     16.73  2 
 52139.669      -1.66      4.81     16.94  1 
 52143.596       1.95      6.52     16.79  2 
 52146.623      -5.43      3.34     16.84  1 
 52150.615      -0.41      6.11     17.27  2 
 52153.577      -1.92      5.13     17.11  1 
 52156.311      -0.74      5.84     16.82  2 
 52160.200      -4.28      3.51     16.58  1 
 52163.329      -3.80      4.49     17.23  2 
 52167.086      -4.37      3.50     16.72  1 
 52170.083       2.02      4.74     16.64  2 
 52173.907      -5.69      4.28     16.83  1 
 52177.898      -5.72      5.67     16.97  2 
 52182.318      -4.29      4.59     16.72  1 
 52184.723       0.33      5.68     16.50  2 
 52189.473     -10.29      4.13     16.83  1 
 52192.604       3.22      4.66     16.57  2 
 52195.431      -0.58      4.54     16.99  1 
 52198.494       0.39      6.25     17.15  2 
 52202.248      -6.38      4.35     16.95  1 
 52205.377      -2.68      5.82     16.93  2 
 52209.198      -5.17      4.63     16.78  1 
 52212.325      -3.06      5.69     17.25  2 
 52311.901      -3.49      4.93     17.57  1 
 52315.023      -1.66      5.53     17.49  2 
 52317.978      -1.52      5.20     17.82  1 
 52322.684       3.84      5.80     17.33  2 
 52325.573       2.27      4.80     17.48  1 
