Obsdate		flux	flux_ler	BKG	BAND
 54691.575     -11.14      5.78     16.33  2 
 54694.697      -2.15      4.57     16.37  1 
 54698.509      -3.63      5.86     16.54  2 
 54701.566      -2.45      4.82     17.00  1 
 54705.313      -1.90      5.96     16.26  2 
 54708.370      -7.18      4.62     16.52  1 
 54711.265       2.05      6.11     16.82  2 
 54715.238      -7.54      4.68     16.85  1 
 54719.245      -2.05      6.09     16.63  2 
 54723.219      -8.13      4.42     16.49  1 
 54727.426       0.56      6.30     15.82  2 
 54730.419      -2.99      4.80     15.83  1 
 54733.516       6.19      6.26     16.91  2 
 54737.423      -3.78      4.39     16.47  1 
 54740.451       3.68      6.71     15.91  2 
 54743.638      -7.79      4.30     16.57  1 
 54747.320      -3.41      5.93     16.18  2 
 54750.246      78.40      7.13     16.49  1 
 54753.207      82.38      8.21     16.37  2 
 54757.180      54.66      6.59     16.61  1 
 54761.121      18.89      6.67     17.17  2 
 54765.029      17.27      5.38     16.60  1 
 54768.971      -9.18      5.63     16.71  2 
 54870.817       0.50      4.86     16.77  1 
 54873.843       0.03      5.78     16.65  2 
 54876.901      -6.59      4.62     16.52  1 
 54880.061      -7.07      5.52     16.22  2 
 54884.363      -5.82      4.63     16.21  1 
 54887.327       2.00      5.81     16.65  2 
 54894.064      -5.49      5.62     16.69  2 
 54896.138      -3.36      4.69     16.71  1 
 54900.147      -5.38      5.51     16.60  2 
 54905.754      -6.23      4.55     16.74  1 
 54908.911       0.97      5.73     16.57  2 
 54911.706      -5.89      4.73     16.53  1 
 54914.731       7.74      5.97     16.57  2 
 54918.704      -9.90      4.50     16.98  1 
 54922.710       4.77      5.77     16.88  2 
 54925.702       9.87      5.04     16.37  1 
 54929.843      -0.43      5.84     16.49  2 
 54933.883      -2.31      4.89     15.83  1 
 54936.978      -0.89      5.51     16.39  2 
 54939.838       4.38      4.88     17.04  1 
 54942.931      -0.03      5.83     16.71  2 
 54947.883      -4.27      4.56     16.81  1 
 54951.760      -2.02      5.47     16.35  2 
 54954.685      -3.35      4.80     16.63  1 
 54958.627      -4.14      5.66     17.05  2 
 54961.749       0.02      4.92     17.01  1 
 54965.690      10.32      6.08     16.20  2 
 54968.616      -4.66      4.63     16.84  1 
 54971.641      -0.91      5.53     16.56  2 
 54975.549      -0.07      4.68     16.27  1 
 54979.755      -9.76      5.30     16.54  2 
 54982.682      -5.25      4.83     16.03  1 
 54985.777       5.67      5.73     16.24  2 
 54989.833       1.82      5.27     16.24  2 
 55014.554       5.66      5.79     17.33  2 
 55017.480       8.38      5.06     16.65  1 
 55020.373      -0.74      5.69     17.84  2 
 55025.393       3.14      4.87     16.30  1 
 55031.544       1.15      4.97     16.08  1 
 55034.704       1.13      5.87     16.25  2 
 55038.612       6.91      5.00     16.52  1 
 55042.686       2.48      6.13     16.61  2 
 55045.545      -2.84      4.58     16.40  1 
 55048.572      -0.84      5.88     16.04  2 
 55052.608      -1.98      4.67     16.67  1 
 55055.438      -2.36      5.86     16.23  2 
 55058.429       8.50      5.27     16.73  1 
 55061.454      -6.83      5.90     16.51  2 
 55064.249      -2.25      4.73     16.12  1 
 55067.404      10.95      6.36     16.72  2 
 55071.312      -1.27      4.61     16.82  1 
 55074.336      -6.63      5.75     16.82  2 
 55078.310       1.12      4.63     16.07  1 
 55081.469      -0.00      6.20     16.51  2 
 55085.771      -8.99      4.34     16.61  1 
 55088.668       0.10      6.05     16.16  2 
 55092.705       0.51      4.72     16.76  1 
 55106.243       7.19      5.13     16.39  1 
 55110.184     -12.21      5.66     17.36  2 
 55113.306       2.67      5.08     16.77  1 
 55116.266      -1.94      5.84     16.67  2 
 55120.107       1.99      4.93     16.86  1 
 55124.177      -2.92      6.05     16.58  2 
 55127.823       6.14      4.98     16.48  1 
 55134.236       0.32      5.04     16.36  1 
 55235.411       7.21      5.35     16.30  1 
 55238.440      -7.29      5.59     16.71  2 
 55241.168       8.90      5.30     16.68  1 
 55244.327      -4.57      5.92     16.52  2 
 55249.211      -4.48      4.73     16.63  1 
 55252.172      -6.77      5.82     16.41  2 
 55254.900      -0.53      4.88     17.14  1 
 55257.860      -4.16      5.76     16.56  2 
 55261.765       1.23      4.97     16.94  1 
 55264.725      -7.61      5.48     16.77  2 
 55268.826       1.59      4.97     16.55  1 
 55271.784      69.14      7.96     16.84  2 
 55275.691     113.75      8.09     16.27  1 
 55279.761      68.44      7.91     16.24  2 
 55282.818      50.30      6.60     16.19  1 
 55286.371      44.92      7.33     17.00  2 
 55290.931      32.93      6.15     16.13  1 
 55293.958      30.28      7.11     16.16  2 
 55297.012      44.13      6.41     16.68  1 
 55299.907      30.40      6.83     16.58  2 
 55306.902      -5.20      5.48     16.82  2 
 55310.610      -7.42      4.66     16.30  1 
 55313.831      -2.85      5.56     16.90  2 
 55317.474      -3.21      4.76     16.90  1 
 55320.432      -1.00      5.49     16.53  2 
 55324.534       3.15      4.97     16.36  1 
 55327.623       7.64      5.80     16.24  2 
 55331.660      -2.78      4.87     16.51  1 
 55335.800       4.28      5.97     16.20  2 
 55339.771      -1.26      4.83     16.10  1 
 55342.798       9.71      6.00     16.38  2 
 55345.722       0.49      4.83     15.82  1 
 55348.878       0.03      5.66     16.42  2 
 55354.631       2.49      5.37     16.50  2 
 55383.656       5.80      5.72     16.02  2 
 55387.627       4.25      5.03     15.73  1 
 55391.766      -1.37      5.66     15.73  2 
 55395.670      -4.05      4.61     16.22  1 
 55398.630      -4.41      5.68     15.94  2 
 55402.795      -8.06      4.28     16.43  1 
 55406.604     -14.69      5.55     16.15  2 
 55408.613       0.26      4.84     16.35  1 
 55411.439      -6.09      5.65     17.03  2 
 55415.476      -4.84      4.56     16.46  1 
 55418.236       3.93      6.03     16.31  2 
 55422.338       1.25      4.77     16.38  1 
 55425.359       9.27      6.32     15.92  2 
 55429.332      -1.66      4.71     16.66  1 
 55432.558       4.55      6.28     15.48  2 
 55436.460      -4.38      4.72     16.41  1 
 55439.943       3.15      6.23     16.90  2 
 55444.699       2.66      4.91     16.32  1 
 55447.527       2.78      6.34     16.37  2 
 55450.451     -10.70      4.22     16.48  1 
 55453.605      -5.45      5.87     16.33  2 
 55457.314      -0.27      4.76     16.42  1 
 55460.270      17.25      6.65     16.48  2 
 55464.373      -0.91      5.05     16.69  1 
 55468.309       1.79      6.02     16.31  2 
 55471.235      -0.06      4.87     16.33  1 
 55478.162      -0.55      4.56     15.80  1 
 55482.366      -2.97      6.04     16.26  2 
 55485.287       1.66      5.00     16.28  1 
 55488.575      -4.12      6.01     16.19  2 
 55491.696       4.33      5.01     16.48  1 
 55495.570       0.07      6.39     16.80  2 
 55499.278      -4.50      4.44     16.52  1 
 55600.114       4.18      4.99     16.40  1 
 55603.267       2.18      5.95     16.37  2 
 55607.170      -2.15      4.75     16.37  1 
 55611.106     -10.80      5.24     17.36  2 
 55614.749       3.24      5.02     16.69  1 
 55618.749       3.15      5.81     15.98  2 
 55629.643       0.68      4.79     15.64  1 
 55633.909       3.09      6.03     16.35  2 
 55636.896      -9.22      4.70     16.44  1 
 55640.378       1.55      5.68     16.55  2 
 55643.956      -2.36      4.74     16.20  1 
 55647.109      -1.16      5.83     16.50  2 
 55650.880       6.19      5.05     16.14  1 
 55654.098       1.13      5.88     16.20  2 
 55657.804      -5.65      4.50     16.25  1 
 55661.934       2.80      5.78     16.72  2 
 55664.661      -4.62      4.94     16.45  1 
 55668.595      -2.03      5.85     16.52  2 
 55671.714      -1.29      4.88     16.60  1 
 55675.516     -10.16      5.38     16.18  2 
 55678.636       0.57      4.78     15.97  1 
 55681.655       7.68      5.84     16.24  2 
 55685.298       2.84      4.89     16.32  1 
 55689.890     -10.93      5.13     15.98  2 
 55692.813      -3.25      4.82     15.69  1 
 55696.879      -8.30      5.50     16.36  2 
 55700.781      -2.28      4.65     16.26  1 
 55703.800       4.99      5.91     15.82  2 
 55706.919      -5.57      4.49     16.32  1 
 55710.656      -1.64      5.42     15.95  2 
 55713.774       5.27      4.98     16.20  1 
 55716.466       0.42      5.77     16.12  2 
 55719.665       2.03      5.33     16.27  2 
 55744.744      -1.16      5.42     15.85  2 
 55750.669      -5.73      4.46     16.37  1 
 55754.603       1.49      5.64     15.62  2 
 55759.483       3.95      4.90     16.17  1 
 55762.632     -10.36      5.36     15.93  2 
 55767.446      -3.65      4.71     16.04  1 
 55769.485      -8.25      5.59     16.28  2 
 55773.191      -1.70      4.71     15.70  1 
 55780.240      -5.16      4.44     16.28  1 
 55783.457     -10.67      5.69     15.78  2 
 55790.575       3.01      6.09     15.55  2 
 55797.563      -6.02      5.87     15.53  2 
 55801.528       0.57      4.79     16.06  1 
 55804.677       8.62      6.50     16.14  2 
 55808.447      -5.68      4.53     16.15  1 
 55811.530      -0.35      6.01     16.50  2 
 55822.087      -1.56      4.71     15.67  1 
 55825.300      -2.82      5.94     16.20  2 
 55829.201      -8.52      4.46     15.96  1 
 55832.285      -2.27      5.88     16.06  2 
 55836.316      -0.93      4.78     15.63  1 
 55839.401       0.34      6.08     15.67  2 
 55843.497      -0.87      4.64     15.52  1 
 55846.712      -0.20      6.01     16.29  2 
 55850.415       2.08      4.72     16.13  1 
 55857.265       0.67      4.68     15.78  1 
 55860.412       0.71      6.03     16.14  2 
 55864.180      -3.53      4.65     16.53  1 
